,Arad,Bucharest,Craiova,Dobretu,Eforie,Fagaras,Giurgiu,Hirsova,Iasi,Lugoj,Mehadia,Neamt,Oradea,Pitesti,Rimnicu-Vilcea,Sibiu,Timisoara,Urziceni,Vaslui,Zerind
Arad,0.00 ,422.18 ,284.44 ,279.07 ,623.26 ,284.34 ,446.03 ,543.55 ,491.70 ,71.68 ,164.04 ,406.39 ,106.38 ,313.85 ,265.71 ,223.05 ,48.30 ,445.67 ,494.52 ,51.89
Bucharest,,0.00 ,183.80 ,171.06 ,206.88 ,181.27 ,62.06 ,148.68 ,325.44 ,358.20 ,300.51 ,287.24 ,436.01 ,108.55 ,156.47 ,216.14 ,410.37 ,52.39 ,275.69 ,433.69
Craiova,,,0.00 ,23.62 ,387.81 ,193.60 ,179.65 ,331.60 ,432.91 ,213.40 ,130.76 ,364.84 ,336.92 ,103.25 ,97.97 ,167.27 ,257.84 ,229.07 ,400.56 ,311.70
Dobretu,,,,0.00 ,377.22 ,170.01 ,174.84 ,317.33 ,409.78 ,208.11 ,132.86 ,341.21 ,324.05 ,82.29 ,74.40 ,145.45 ,255.23 ,213.84 ,378.21 ,302.20
Eforie,,,,,0.00 ,352.77 ,215.28 ,90.83 ,357.21 ,562.20 ,507.45 ,369.30 ,621.40 ,313.39 ,359.02 ,404.61 ,614.75 ,176.89 ,297.19 ,626.61
Fagaras,,,,,,0.00 ,232.52 ,266.89 ,249.15 ,238.36 ,228.91 ,173.73 ,268.80 ,111.50 ,95.65 ,63.54 ,290.26 ,181.39 ,229.96 ,278.78
Giurgiu,,,,,,,0.00 ,181.27 ,386.73 ,378.39 ,307.65 ,349.15 ,472.60 ,138.60 ,185.55 ,256.85 ,427.92 ,106.81 ,335.68 ,462.32
Hirsova,,,,,,,,0.00 ,277.26 ,486.72 ,441.12 ,280.80 ,535.54 ,244.02,285.31,322.19,538.89,103.07,217.25,544.20
Iasi,,,,,,,,,0.00 ,465.64,476.16,94.69,428.42,333.11,338.13,305.97,511.97,282.19,60.18,466.15
Lugoj,,,,,,,,,,0.00 ,93.61,371.62,152.39,249.05,202.75,173.84,53.23,385.95,460.02,108.39
Mehadia,,,,,,,,,,,0.00 ,386.87,241.47,197.63,160.00,170.36,128.94,338.72,458.78,201.76
Neamt,,,,,,,,,,,,0.00 ,336.81,263.92,259.43,216.73,417.44,251.96,109.23,372.41
Oradea,,,,,,,,,,,,,0.00 ,333.84,287.14,220.14,154.60,447.49,442.65,58.19
Pitesti,,,,,,,,,,,,,,0.00 ,48.51,119.61,302.04,140.26,298.07,327.40
Rimnicu-Vilcea,,,,,,,,,,,,,,,0.00 ,79.30,255.47,183.81,311.47,278.96
Sibiu,,,,,,,,,,,,,,,,0.00 ,226.91,228.73,290.91,223.96
Timisoara,,,,,,,,,,,,,,,,,0.00 ,438.89,510.37,99.95
Urziceni,,,,,,,,,,,,,,,,,,0.00 ,229.69,451.57
Vaslui,,,,,,,,,,,,,,,,,,,0.00 ,474.34
Zerind,,,,,,,,,,,,,,,,,,,,0.00
